figure,file,primary_sources,main_reason
1,final17_fig01_overall_study_architecture.png,configs/block3_testcase_manifest.yaml,study-level architecture
2,final17_fig02_backend_architecture.png,docs/block1_complete_results.txt;reports/block1_surrogate_final_metrics.csv,surrogate/backend architecture
3,block1_predictive_validity_horizon_lines.png,outputs/surrogate_v3_rollout_prepared_15min/v3/horizon_metrics.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/raw_v35/horizon_metrics.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/calibrated_v35/horizon_metrics.csv,multi-horizon rollout evidence
4,block1_temperature_residual_histograms.png,outputs/surrogate_v3_rollout_prepared_15min/v3/all_full_rollouts.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/raw_v35/all_full_rollouts.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/calibrated_v35/all_full_rollouts.csv,residual distribution evidence
5,block1_stage_abc_calibration_diagnostics.png,outputs/surrogate_v35_inverse_boptest_15min_episodeaware/stage_b_history_v35.csv;outputs/surrogate_v35_inverse_boptest_15min_episodeaware/stage_c_history_v35.csv,C_zon and Stage C convergence
6,final17_fig04_matched_corpus_decomposition.png,reports/block1_corpus_matched_comparison.csv,corpus-vs-calibration ablation
7,final17_fig05_fidelity_vs_rl_utility.png,reports/hou_evins_architecture_justification_table.csv;reports/block1_corpus_matched_comparison.csv,predictive fidelity vs live utility paradox
8,block1_q1_fig11_action_saturation.png,reports/hybrid_transfer_comparison.csv;outputs/block13_closed_loop_transfer_* traces,policy failure mechanism
9,block1_q1_fig10_transfer_gap_diagnostics.png,reports/hybrid_transfer_comparison.csv,surrogate-to-live transfer gap
10,final17_fig06_live_boptest_controller_comparison.png,reports/hou_evins_architecture_justification_table.csv;reports/hybrid_transfer_comparison.csv,live controller KPI comparison
11,final17_fig08_hdrl_lambda_temp_sweep.png,reports/block2_hdrl_lambda_sweep_summary.csv,HDRL controller-family sensitivity
12,final17_fig10_morl_comfort_energy_pareto.png,reports/morl_pareto_front_table.csv;reports/morl_canonical_seedfix_yearly_summary.csv,MORL Pareto with seed uncertainty
13,final17_fig14_rl_vs_pi_threshold_energy_penalty.png,reports/block3_transfer_matrix.csv,Block 3 threshold and energy caveat
14,final17_fig16_hydronic_czon_consistency.png,reports/block3_transfer_matrix.csv,physical transfer finding
