figure,file,primary_sources,why_main_not_supplementary
1,final17_fig01_overall_study_architecture.png,configs/block3_testcase_manifest.yaml,study architecture needed once in main
2,final17_fig02_backend_architecture.png,docs/block1_complete_results.txt;reports/block1_surrogate_final_metrics.csv,defines v3/v3.5/hybrid roles and tensor/output structure
3,block1_predictive_validity_horizon_lines.png,outputs/surrogate_v3_rollout_prepared_15min/v3/horizon_metrics.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/raw_v35/horizon_metrics.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/calibrated_v35/horizon_metrics.csv,rollout stability and error accumulation
4,final_eng_fig04_residual_distribution_error_cdf.png,outputs/surrogate_v3_rollout_prepared_15min/v3/all_full_rollouts.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/raw_v35/all_full_rollouts.csv;outputs/surrogate_v35_rollout_prepared_15min_power_head_only/calibrated_v35/all_full_rollouts.csv,engineered tolerance view: bias spread tail and CDF thresholds
5,block1_stage_abc_calibration_diagnostics.png,outputs/surrogate_v35_inverse_boptest_15min_episodeaware/stage_b_history_v35.csv;outputs/surrogate_v35_inverse_boptest_15min_episodeaware/stage_c_history_v35.csv,physical parameter convergence and residual-head diagnostics
6,final17_fig04_matched_corpus_decomposition.png,reports/block1_corpus_matched_comparison.csv,causal attribution of corpus shift vs calibration
7,final17_fig05_fidelity_vs_rl_utility.png,reports/hou_evins_architecture_justification_table.csv;reports/block1_corpus_matched_comparison.csv,central paradox: predictive fidelity does not imply RL utility
8,final_eng_fig08_live_boptest_closed_loop_traces.png,outputs/bestest_air_article7_style_15min/traces/typical_heat_window_thermostatic.csv;outputs/block2_bestest_air_15min_thermostatic_v35/traces/typical_heat_window_thermostatic.csv;outputs/block2_thermostatic_hybrid_v3_v35_l010/traces/typical_heat_window_thermostatic.csv,real closed-loop behavior behind aggregate KPIs
9,final_eng_fig09_action_distribution_phase_portrait.png,outputs/bestest_air_article7_style_15min/traces/typical_heat_window_thermostatic.csv;outputs/block2_bestest_air_15min_thermostatic_v35/traces/typical_heat_window_thermostatic.csv;outputs/block2_thermostatic_hybrid_v3_v35_l010/traces/typical_heat_window_thermostatic.csv,mechanism diagnostic for bang-bang saturation
10,final17_fig10_morl_comfort_energy_pareto.png,reports/morl_pareto_front_table.csv;reports/morl_canonical_seedfix_yearly_summary.csv,multi-objective trade-off with uncertainty
11,final_eng_fig11_block3_deployment_plane.png,reports/block3_transfer_matrix.csv,threshold-normalized comfort-energy transfer verdict
12,final_eng_fig12_czon_hypothesis_interval.png,reports/block3_transfer_matrix.csv,physical consistency and hypothesis-interval test
